"Search Parameters"	"Year"	"Mo"	"Dy"	"Tsu"	"Eq"	"Name"	"Location"	"Country"	"Latitude"	"Longitude"	"Elevation (m)"	"Type"	"VEI"	"Agent"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"
"[""Country = Iceland""]"																																		
	920					"Katla"	"Iceland-S"	"Iceland"	63.633	-19.083	1490	"Subglacial volcano"	4									1												
	934					"Katla"	"Iceland-S"	"Iceland"	63.633	-19.083	1490	"Subglacial volcano"	4									1										1		
	950					"Katla"	"Iceland-S"	"Iceland"	63.633	-19.083	1490	"Subglacial volcano"										1												
	1104	10	15			"Hekla"	"Iceland-S"	"Iceland"	63.983	-19.666	1490	"Stratovolcano"	5									1										1		
	1151					"Krysuvik-Trolladyngja"	"Iceland-SW"	"Iceland"	63.917	-22.067	360	"Crater rows"	1									1										1		
	1158	1	19			"Hekla"	"Iceland-S"	"Iceland"	63.983	-19.666	1490	"Stratovolcano"	4									1										1		
	1177					"Katla"	"Iceland-S"	"Iceland"	63.633	-19.083	1490	"Subglacial volcano"	3									1										1		
	1206	12	4			"Hekla"	"Iceland-S"	"Iceland"	63.983	-19.666	1490	"Stratovolcano"	2									1										1		
	1262					"Katla"	"Iceland-S"	"Iceland"	63.633	-19.083	1490	"Subglacial volcano"	3	"F"		1										1								
	1300	7	11			"Hekla"	"Iceland-S"	"Iceland"	63.983	-19.666	1490	"Stratovolcano"	4												600	3								
	1311	1	18			"Katla"	"Iceland-S"	"Iceland"	63.633	-19.083	1490	"Subglacial volcano"	4	"F"		2										2								
	1341	5	19			"Hekla"	"Iceland-S"	"Iceland"	63.983	-19.666	1490	"Stratovolcano"	3									1										1		
