"Search Parameters"	"Year"	"Mo"	"Dy"	"Tsu"	"Eq"	"Name"	"Location"	"Country"	"Latitude"	"Longitude"	"Elevation (m)"	"Type"	"VEI"	"Agent"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"
"[""Country = Indonesia""]"																																		
	416			39		"Krakatau"	"Indonesia"	"Indonesia"	-6.101	105.423	285	"Caldera"		"W"		1						1				3						4		
	1311					"Kelud"	"Java"	"Indonesia"	-7.935	112.314	1730	"Stratovolcano"	3			1										1								
	1334					"Kelud"	"Java"	"Indonesia"	-7.935	112.314	1730	"Stratovolcano"	3	"M"		1										1								
	1376					"Kelud"	"Java"	"Indonesia"	-7.935	112.314	1730	"Stratovolcano"	3			1										1								
	1385					"Kelud"	"Java"	"Indonesia"	-7.935	112.314	1730	"Stratovolcano"	3			1										1								
	1550	11				"Dukono"	"Halmahera-Indonesia"	"Indonesia"	1.699	127.878	1273	"Complex volcano"	3			1										1								
	1550			5863		"Kie Besi"	"Halmahera-Indonesia"	"Indonesia"	0.32	127.4	1357	"Stratovolcano"	3									1										1		
	1564	12	31			"Gamkonora"	"Halmahera-Indonesia"	"Indonesia"	1.38	127.53	1635	"Stratovolcano"	3			1										1								
	1586					"Kelud"	"Java"	"Indonesia"	-7.935	112.314	1730	"Stratovolcano"	5		10000	4									10000	4								
	1587					"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	4			1										1								
	1593					"Raung"	"Java"	"Indonesia"	-8.119	114.056	3260	"Stratovolcano"	5			3										3								
	1597					"Raung"	"Java"	"Indonesia"	-8.119	114.056	3260	"Stratovolcano"	3	"T"		1										1								
	1608	7	18	222		"Gamalama"	"Halmahera-Indonesia"	"Indonesia"	0.81	127.332	1714	"Stratovolcano"	3									1				1						1		
	1638					"Raung"	"Java"	"Indonesia"	-8.119	114.056	3260	"Stratovolcano"	4	"M"	1001	4									1001	4								
	1646	7	19	5754	10519	"Kie Besi"	"Halmahera-Indonesia"	"Indonesia"	0.32	127.4	1357	"Stratovolcano"	4	"P"		3										3								
	1672	8	4			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	3	"P"	3000	4									3000	4								
	1673	5	20	312		"Gamkonora"	"Halmahera-Indonesia"	"Indonesia"	1.38	127.53	1635	"Stratovolcano"	5	"W"								1		1		3						1		1
	1690					"Guntur"	"Java"	"Indonesia"	-7.143	107.841	2251	"Complex volcano"	3			1										1								
	1698					"Ciremai"	"Java"	"Indonesia"	-6.895	108.408	3039	"Stratovolcano"	3			1										1								
	1711	12	11			"Awu"	"Sangihe Is-Indonesia"	"Indonesia"	3.689	125.447	1318	"Stratovolcano"	3	"P"	3000	4									3000	4								
	1716	7	20			"Kelud"	"Java"	"Indonesia"	-7.935	112.314	1730	"Stratovolcano"	2	"M"		1										1								
